"Categoría Tipo
(Incidente o Requerimiento)";"Categoría - Nivel 1
(Ciclo de Vida DUA)";"Código Categoría Aranda
Grupo";"Categoría - Nivel 2
(Servicio Específico)";"Código Categoría Aranda
Sub Grupo";"Responsable de Gestión
Grupo"
Incidencia;Problema al modificar la DUA posterior a la aceptación;820;No permite modificar un campo;821;Consorcio - Mesa de Servicio N1
Incidencia;Problema al modificar la DUA posterior a la aceptación;820;"Permite modificar un campo, pero no se refleja el ajuste
";822;Consorcio - Mesa de Servicio N1
Incidencia;Problemas al Guardar / Almacenar;823;Problemas al intentar guardar o recuperar borradores/versiones de la DUA;824;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Infraestructura IT (Oculta);913;Escalabilidad: Se determina que el problema le corresponde resolverlo a la DTIC a nivel Infraestructura IT;914;Ministerio de Hacienda - DTIC
Incidencia;Problemas Asociados a la Selectividad;825;"Problema Técnico a la hora del crear una regla. 
(Los usuarios serán la DGR)";827;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;No se generó el Levante automático;829;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;No se visualiza el aforador asignado;830;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;Problemas con la notificación recibida por correo;831;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;Problemas con las observaciones;832;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;Problemas en el enrutamiento del DUA;833;Consorcio - Mesa de Servicio N1
Incidencia;Problemas Asociados a la Selectividad;825;Problemas en la reasignación de DUAs;834;Consorcio - Mesa de Servicio N1
Requerimiento;Problemas Asociados a la Selectividad;825;Problemas técnicos por parte del aforador;900;Consorcio - Mesa de Servicio N1
Requerimiento;Problemas Asociados a la Selectividad;825;"Se detecta un problema en la regla o se requiere ajustar la regla. 
(Ej: Regla mal hecha, bajar la selectividad)";901;Consorcio - Especialista N2
Incidencia;Problemas Asociados a la Selectividad;825;Dificultades relacionadas al proceso de impugnación sobre el aforo realizado;826;Ministerio de Hacienda - DGA -DGT
Incidencia;Problemas Asociados a la Selectividad;825;Problemas asociados a la selección o cargas de trabajo y asignación de aforador;828;Ministerio de Hacienda - DGA -DGT
Incidencia;Problemas con el cálculo de la Liquidación;835;Error en el cálculo de la liquidación;836;Consorcio - Mesa de Servicio N1
Incidencia;Problemas con el cálculo de la Liquidación;835;Se determina que el error esta en ATENA  (endopint de API);838;Consorcio - Mesa de Servicio N1
Incidencia;Problemas con el cálculo de la Liquidación;835;Escalamiento: Error en tipo de cambio, verificar interoperabilidad con BCCR ;840;Consorcio - Mesa de Servicio N1
Incidencia;Problemas con el cálculo de la Liquidación;835;Escalamiento: Se evidencia un error en la fórmula o incisos arancelarios sin actualizar;837;Ministerio de Hacienda - DGA -DGT
