Nombre Completo;Grupos;Técnico a cargo;Visible en la interfaz del Helpdesk;Visible para una solicitud;Visible para un incidente;Visible para un problema;Visible para un cambio;ID;Código que representa la categoría del caso
MDH;;;Si;Si;Si;Si;Si;;
MDH > Problema al modificar la DUA posterior a la aceptación;;;Si;Si;Si;Si;Si;;
MDH > Problemas al Guardar / Almacenar;;;Si;Si;Si;Si;Si;;
MDH > Problemas Asociados a la Infraestructura IT (Oculta);;;Si;Si;Si;Si;Si;;
MDH > Problemas Asociados a la Selectividad;;;Si;Si;Si;Si;Si;;
MDH > Problemas con el cálculo de la Liquidación;;;Si;Si;Si;Si;Si;;
MDH > Problemas con Llenado y Aceptación;;;Si;Si;Si;Si;Si;;
MDH > Problemas de Acceso;;;Si;Si;Si;Si;Si;;
MDH > Problemas de Anotación de Salida;;;Si;Si;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO;;;Si;Si;Si;Si;Si;;
MDH > Problemas de Pago;;;Si;Si;Si;Si;Si;;
MDH > Problemas desarrollador API;;;Si;Si;Si;Si;Si;;
MDH > Consulta sobre el Manual de Procedimientos Aduaneros;;;Si;Si;Si;Si;Si;;
MDH > Problemas en el proceso de rectificacion;;;Si;Si;Si;Si;Si;;
MDH > Problemas en la Firma Digital;;;Si;Si;Si;Si;Si;;
MDH > Problemas en Proceso de Levante;;;Si;Si;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito;;;Si;Si;Si;Si;Si;;
MDH > Problema al modificar la DUA posterior a la aceptación > No permite modificar un campo;;;Si;No;Si;Si;Si;;
MDH > Problema al modificar la DUA posterior a la aceptación > Permite modificar un campo, pero no se refleja el ajuste;;;Si;No;Si;Si;Si;;
MDH > Problemas al Guardar / Almacenar > Problemas al intentar guardar o recuperar borradores/versiones de la DUA;;;Si;No;Si;Si;Si;;
MDH > Problemas Asociados a la Infraestructura IT (Oculta) > Escalabilidad: Se determina que el problema le corresponde resolverlo a la DTIC a nivel Infraestructura IT;;;Si;No;Si;Si;Si;;
MDH > Problemas Asociados a la Selectividad > Problema Técnico a la hora del crear una regla.  (Los usuarios serán la DGR);;;Si;No;Si;Si;Si;;
MDH > Problemas Asociados a la Selectividad > No se generó el Levante automático;;;Si;No;Si;Si;Si;;
MDH > Problemas Asociados a la Selectividad > No se visualiza el aforador asignado;;;Si;No;Si;Si;Si;;
MDH > Problemas Asociados a la Selectividad > Problemas con la notificación recibida por correo;;;Si;No;Si;Si;Si;;
